,CountryName,CountryCode,IndicatorName,IndicatorCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Antigua and Barbuda,ATG,GDPgrowth,NY.GDP.PCAP.KD.ZG,4.457311286,-6.000792503,-0.255113806,4.880932309,4.606741223,5.236709085,11.27865894,7.821253426,-1.497593577,-13.29886801,-9.089174819,-3.12748111,2.258654934,-1.525263424,2.936152523,3.011461458,4.770737128,2.516077765,6.292214738,4.303301789,-20.66347881,4.644095483
13,Australia,AUS,GDPgrowth,NY.GDP.PCAP.KD.ZG,2.71882937,0.739613358,2.817325413,1.932212851,3.108286755,1.905683368,1.363514029,1.901150677,1.5135102,-0.20740929,0.628836598,0.978468035,2.10380811,0.828325558,1.060337085,0.693065823,1.13842434,0.604963408,1.348282752,0.665151145,-1.278358059,2.105711229
14,Austria,AUT,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.12743665,0.880259098,1.152676331,0.450946527,2.099711169,1.549877317,2.943417859,3.391730827,1.143307119,-4.016340042,1.592577128,2.576448318,0.222450577,-0.562298943,-0.122370667,-0.11154019,0.89246914,1.550724086,1.92771306,1.066969706,-6.841544703,4.102317176
15,Azerbaijan,AZE,GDPgrowth,NY.GDP.PCAP.KD.ZG,10.19102927,9.051822038,8.625351066,9.376460364,8.301538479,26.66009477,33.03048777,23.59068541,8.457450126,7.050602519,3.806491021,-1.195842962,0.816684128,4.450020099,1.475936941,-0.103121365,-4.17717168,-0.778416126,0.624486168,1.635850481,-4.952701739,5.135158571
16,Burundi,BDI,GDPgrowth,NY.GDP.PCAP.KD.ZG,-2.86056588,-0.439187877,1.568534631,-4.274588198,1.010882046,-2.764880494,1.706713839,-0.277700517,0.637154646,-1.327694607,0.318221818,0.41151196,0.824080966,1.263599334,0.810602801,-5.980495612,-2.20613383,-1.772646486,-1.377139622,-1.457193034,-2.50846117,-0.889127327
17,Belgium,BEL,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.465452571,0.75248291,1.251984606,0.61587978,3.123928918,1.760455594,1.8781832,2.918338349,-0.343452718,-2.80592074,1.928764196,0.38003457,0.116402578,-0.013148386,1.128595725,1.451893368,0.755268919,1.228866236,1.330652227,1.689776474,-5.768398309,5.636308193
18,Benin,BEN,GDPgrowth,NY.GDP.PCAP.KD.ZG,2.689647379,2.207364924,1.548959248,0.372024802,1.316512038,-1.467813821,0.811410157,2.982053319,1.849625069,-0.648436891,-0.839355824,-0.007428192,1.800064493,4.127606235,3.290504999,-1.181684836,0.335852248,2.603550233,3.624268216,3.824507565,0.951676065,4.238979279
19,Burkina Faso,BFA,GDPgrowth,NY.GDP.PCAP.KD.ZG,-1.106850828,3.420372815,1.193156955,4.507163311,1.250803724,5.293432973,2.986692134,1.001302627,2.731085634,-0.012474271,5.305144555,3.502706594,3.273591496,2.657295331,1.263996385,0.877785605,2.893498327,3.203256836,3.693513328,2.868728152,-0.773847474,4.110140346
20,Bangladesh,BGD,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.305900935,3.100436692,1.92168942,2.926134543,3.50574324,4.930968205,5.388330716,5.939181515,5.076730248,4.124685807,4.373484667,5.174520875,5.20499112,4.678721918,4.747779227,5.291060808,5.803210398,5.266455113,6.080237769,6.687662727,2.271105153,5.716645098
21,Bulgaria,BGR,GDPgrowth,NY.GDP.PCAP.KD.ZG,5.105055058,5.911159292,8.195216694,6.074063329,7.31740448,7.865501647,7.616849472,7.441487797,6.877127828,-2.722415408,2.212431063,2.758011774,1.340217109,-0.00242338,1.542387921,4.090107686,3.765068555,3.515538335,3.42891057,4.773056073,-3.380400724,8.515249594
22,Bahrain,BHR,GDPgrowth,NY.GDP.PCAP.KD.ZG,2.442157461,-0.14972112,0.8533771,2.208243364,-0.103815979,-1.336449595,-1.105353022,1.055400516,-0.434970499,-3.468434461,1.394890732,2.115445699,2.638951394,2.347595883,0.413894139,-1.352381521,0.06723301,0.913957633,0.016786109,1.698724144,-3.860111637,3.21765878
23,"Bahamas, The",BHS,GDPgrowth,NY.GDP.PCAP.KD.ZG,2.629682064,1.1892679,1.359063337,-2.573648591,-0.469561177,1.993583704,1.104087361,0.027989689,-3.704404799,-5.545775183,0.119788587,-0.631937739,1.977657978,-3.767283671,0.936220395,0.079669848,-1.678642658,2.264019613,1.099781367,1.228453764,-24.18131345,13.31967263
24,Bosnia and Herzegovina,BIH,GDPgrowth,NY.GDP.PCAP.KD.ZG,12.05488255,2.042863604,4.940438543,4.230918332,7.374875475,5.129516204,6.354630872,7.183286711,7.168092787,-1.362529167,2.62997049,2.792141415,1.034339285,3.957296129,2.47075228,4.456460331,4.434014241,4.39985515,4.957386161,4.037112875,-1.884227567,9.106163704
25,Belarus,BLR,GDPgrowth,NY.GDP.PCAP.KD.ZG,6.299636448,5.263892131,5.716082411,7.794917912,12.21261832,10.14976717,10.6755868,9.099459979,10.58130499,0.446705796,8.034088134,5.625881186,1.846520268,1.042243413,1.669279929,-3.957251254,-2.611913805,2.644807522,3.369991519,1.604818192,-0.278203387,2.73401499
26,Belize,BLZ,GDPgrowth,NY.GDP.PCAP.KD.ZG,9.39899286,1.784486467,1.874493966,6.013910049,1.504839261,-0.807645036,1.559296811,0.340204416,-4.257774011,-3.145662282,-1.238076017,-2.358493725,1.54089716,2.215709713,1.830444324,1.203028528,-1.91523472,-3.631144448,-0.847617048,2.614217232,-14.68046614,13.75423091
27,Bermuda,BMU,GDPgrowth,NY.GDP.PCAP.KD.ZG,8.348324206,6.071369138,-2.116731681,2.736271274,1.655071335,1.018079897,4.940272519,2.763815335,-2.444780256,-6.148629405,-1.736363236,-2.907850829,-5.647262748,-0.591137895,-3.903606108,0.622598427,0.3938692,4.716102205,-0.5028993,0.317253011,-6.811709487,5.456447237
28,Bolivia,BOL,GDPgrowth,NY.GDP.PCAP.KD.ZG,0.675361125,-0.099986843,0.706590426,0.933272881,2.377208378,2.627411949,2.981967715,2.75018668,4.328171136,1.601456455,2.375335576,3.453673773,3.39719644,5.069795424,3.783187059,3.220538942,2.663074188,2.623303304,2.6847972,0.737697291,-9.95240492,4.846972481
29,Brazil,BRA,GDPgrowth,NY.GDP.PCAP.KD.ZG,2.970910781,0.059648944,1.760242779,-0.051285666,4.561781957,2.055571501,2.847962008,4.98082992,4.061722166,-1.073238333,6.522816179,3.013396273,1.007654033,2.114256452,-0.354514802,-4.358317179,-4.057423002,0.523296589,0.978938493,0.448280407,-4.515931181,4.067872349
30,Barbados,BRB,GDPgrowth,NY.GDP.PCAP.KD.ZG,4.254994513,-2.630358564,0.379644847,1.77670843,1.031642701,3.580491633,5.740724577,1.694449723,0.200454089,-5.418778446,-2.692141229,-0.967165211,-0.688990257,-1.685187442,-0.313377482,2.255206921,2.324756803,0.262708848,-1.204427376,-0.306518356,-13.46945599,-0.36923033
31,Brunei Darussalam,BRN,GDPgrowth,NY.GDP.PCAP.KD.ZG,0.730069451,0.687036971,1.864685729,0.990882746,-1.284601231,-1.3250511,2.692052121,-1.416167647,-3.423745709,-3.209963091,1.111479826,2.336315197,-0.359754944,-3.330844835,-3.667518932,-1.522384232,-3.521143982,0.320205439,-0.868860057,2.974226152,0.291718917,-2.396821442
32,Bhutan,BTN,GDPgrowth,NY.GDP.PCAP.KD.ZG,0.500693009,5.470289332,8.156908908,5.176425964,3.502987055,5.130903788,5.420472436,16.91019932,3.565242325,5.533319776,10.70222196,6.799598004,3.979385564,1.035010357,4.703729522,5.649806271,7.191508662,3.771571241,2.247154987,5.016153346,-10.59763133,3.420910534
33,Botswana,BWA,GDPgrowth,NY.GDP.PCAP.KD.ZG,-0.104457972,-1.737732223,4.107829819,2.808520617,0.925705711,2.693878256,6.34700491,3.73406781,1.176918832,-15.89055769,7.875871132,4.717165863,-2.070174126,9.005663889,3.681668068,-6.699965199,5.048819755,1.970663775,2.08305145,1.042060152,-10.40032999,9.56201765
34,Central African Republic,CAF,GDPgrowth,NY.GDP.PCAP.KD.ZG,-5.182200264,2.138855273,1.352775362,-7.657345914,3.720591047,-1.338182594,2.684667344,2.665865061,-0.03993708,6.272393967,2.485984851,2.610234803,4.145158394,-36.77769716,0.158111559,3.891158828,2.938099239,2.590923501,1.792220305,0.833009811,-1.624775579,-1.210279564
35,Canada,CAN,GDPgrowth,NY.GDP.PCAP.KD.ZG,4.202682574,0.69016125,1.903852002,0.888030154,2.129630941,2.234059429,1.602574764,1.082975538,-0.080294839,-4.030419849,1.949628189,2.142309009,0.663247995,1.253613813,1.841026124,-0.089285801,-0.135842621,1.811278917,1.335564285,0.426917853,-6.31922237,3.969874711
36,Central Europe and the Baltics,CEB,GDPgrowth,NY.GDP.PCAP.KD.ZG,4.540344448,3.832602352,4.289313338,4.412176523,6.130510445,5.3040699,6.857610582,6.827804996,4.308882945,-3.317836403,1.805473104,3.761303759,1.057872617,0.878883384,3.431979677,4.267435967,3.012662727,5.364971412,5.146557502,4.081787003,-3.187260203,6.931397843
37,Switzerland,CHE,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.376157295,0.934949653,-0.826280428,-0.771333169,1.998132056,2.093586607,3.42255066,2.991822023,1.509950794,-3.51055886,2.173638164,0.68733987,0.110596604,0.628360675,1.108693594,0.494129822,0.960131673,0.421326163,2.10552472,0.423089768,-3.086282111,3.440503207
39,Chile,CHL,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.772356977,2.009936512,2.086110705,3.631566469,5.616340075,4.807518067,5.01599112,4.142002319,2.755800964,-2.128300575,4.788942692,5.176036996,5.125738377,2.31640012,0.772927818,1.105758382,0.550297855,-0.213266447,2.139078184,-1.018582829,-7.248861345,10.56335959
40,China,CHN,GDPgrowth,NY.GDP.PCAP.KD.ZG,7.638597676,7.551654832,8.404879975,9.354776644,9.46155877,10.74137513,12.09330469,13.6358205,9.090280101,8.855947676,10.10283262,8.953816042,7.134523777,7.050734134,6.750760316,6.420736477,6.238215448,6.301863101,6.251700556,5.575316863,1.996619014,8.01334526
41,Cote d'Ivoire,CIV,GDPgrowth,NY.GDP.PCAP.KD.ZG,-2.959710899,-4.683346315,-5.142085307,-7.000661329,0.801103624,-1.268265055,0.56862426,-1.059815638,2.573868008,1.432261367,4.610518088,-7.314005486,5.430923065,8.499803033,6.868861325,4.463053059,4.448644965,4.618642178,4.18187594,3.576427771,-0.547616261,4.441855285
42,Cameroon,CMR,GDPgrowth,NY.GDP.PCAP.KD.ZG,1.131126752,1.619678854,1.714569107,2.614132052,4.150729442,-0.527954207,1.024993586,1.466544498,-0.029081451,-0.299622051,0.006582792,0.493346681,1.721841651,2.082609838,2.558902685,2.392797417,1.454232673,0.648212634,1.121795216,0.643223201,-2.422434418,0.953583607
43,"Congo, Dem. Rep.",COD,GDPgrowth,NY.GDP.PCAP.KD.ZG,-9.570694324,-5.012042163,-0.151731065,2.514865995,3.60340242,2.879528265,2.017148351,2.897014253,2.880741558,-0.3784622,3.686160116,3.35182131,3.552018767,4.845979483,5.762181552,3.353084348,-1.088996021,0.216643089,2.413839975,1.11096628,-1.49268943,2.832379325
44,"Congo, Rep.",COG,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.547205816,-0.027544188,2.162661737,-1.938996116,0.019857938,3.94682346,4.007991907,-9.989537905,2.842036482,7.241581921,5.45626725,-1.056578869,6.936986163,-3.07344321,4.196087842,-5.826892598,-12.88925187,-6.641709057,-7.057420278,-2.412582309,-8.400600152,-4.439489192
45,Colombia,COL,GDPgrowth,NY.GDP.PCAP.KD.ZG,1.271082628,0.088483852,0.942693273,2.390448042,3.839378166,3.406895648,5.339723444,5.422847619,2.084242363,0.001662279,3.323734506,5.784699766,2.837889026,4.098265909,3.513953479,1.990616494,1.002272725,-0.161953875,0.638439616,1.314952378,-8.404642889,9.418278806
46,Comoros,COM,GDPgrowth,NY.GDP.PCAP.KD.ZG,8.717689838,0.28098417,0.255555657,0.119030969,-0.013669964,0.837129283,0.61407525,-1.200112163,1.888357948,1.14810444,1.637270424,1.960299485,0.985839766,2.249640757,-0.067894786,-1.014068958,1.102932073,1.712361833,1.686721598,-0.126909212,-2.074861396,0.190939004
47,Cabo Verde,CPV,GDPgrowth,NY.GDP.PCAP.KD.ZG,12.13409838,0.540730931,3.633309701,2.688116923,8.726368147,5.557902764,6.67270905,13.8360549,5.479600057,-2.285603673,0.381673315,2.725448256,-0.119066631,-0.331546583,-0.519308362,-0.107170478,3.537964367,2.497896236,3.387764606,4.60050871,-15.60392042,5.991027269
48,Costa Rica,CRI,GDPgrowth,NY.GDP.PCAP.KD.ZG,1.838873563,1.600982803,1.675937517,2.673776029,2.848457985,2.456798968,5.799838282,6.707755266,3.298011334,-2.203057169,4.012638874,3.116526116,3.627812474,1.319512787,2.414564009,2.573178611,3.151513388,3.143265986,1.66130831,1.535290566,-4.77333028,6.935585392
49,Caribbean small states,CSS,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.029549735,1.3565365,2.885720479,4.884095064,3.262888641,2.966179383,6.121912712,2.747459436,0.619409272,-4.096716608,0.734935698,0.510175002,2.533316024,0.753127286,1.496707404,-0.373880495,-2.433810697,-0.952216591,0.349478275,0.590576919,-9.679789926,4.826408012
50,Cuba,CUB,GDPgrowth,NY.GDP.PCAP.KD.ZG,5.574321641,2.876228671,1.144029242,3.52243391,5.524827061,10.99578811,11.92139979,7.174032658,4.054763877,1.392178173,2.324766851,2.726846251,2.9185284,2.636075249,0.954420824,4.365679262,0.494991593,1.859409284,2.322141399,-0.062973104,-10.8222658,1.652817152
53,Cyprus,CYP,GDPgrowth,NY.GDP.PCAP.KD.ZG,4.844155984,2.838129284,2.541064553,1.38361898,3.63080498,3.353772518,2.981296273,2.884110626,1.076560783,-4.610651165,-0.35676942,-2.112935753,-4.907387691,-6.370077361,-0.688984538,4.009426772,6.085872068,4.754519504,4.366951173,4.107459811,-5.450317794,5.649950249
54,Czechia,CZE,GDPgrowth,NY.GDP.PCAP.KD.ZG,4.293071465,3.430857546,1.76597432,3.613338965,4.782365794,6.454261737,6.478203603,4.956085333,1.838240193,-5.198981919,2.136880484,1.55018979,-0.92373445,-0.079052895,2.154500479,5.181402654,2.340552261,4.889722042,2.875468527,2.624956267,-5.732526894,5.437410893
55,Germany,DEU,GDPgrowth,NY.GDP.PCAP.KD.ZG,2.773221251,1.510558261,-0.365628327,-0.755077167,1.197055352,0.788917116,3.933610331,3.114245883,1.152029742,-5.454577169,4.339606777,5.869635737,0.230160993,0.163870563,1.784341886,0.617105353,1.408102075,2.297206047,0.678212594,0.828957962,-3.775429714,2.583557475
57,Dominica,DMA,GDPgrowth,NY.GDP.PCAP.KD.ZG,2.867298553,0.219160831,-2.98316206,6.073432194,2.852325155,0.509291715,4.555925723,6.301941569,7.110156189,-1.176774443,0.719489528,-0.204681673,-1.268694036,-0.900680193,3.920238121,-3.615168468,2.663927282,-7.054046687,2.933518572,4.608870253,-17.26169347,6.067575016
58,Denmark,DNK,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.400684546,0.462534295,0.145880727,0.117358167,2.403233997,2.055110516,3.572063464,0.462731494,-1.094842128,-5.414013999,1.419486631,0.920393685,-0.149916088,0.513424428,1.105433466,1.622166258,2.443368874,2.162355113,1.485085157,1.130657494,-2.280015264,4.402231182
59,Dominican Republic,DOM,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.075842277,0.943739475,2.997365375,-2.725462464,1.171908499,7.975831368,7.770307349,6.067420944,1.90090508,-0.362882608,6.924484313,1.800671362,1.415388695,3.572464785,5.748381463,5.655742243,5.425601523,3.490477238,5.807049827,3.928931727,-7.719058679,11.07827631
60,Algeria,DZA,GDPgrowth,NY.GDP.PCAP.KD.ZG,2.354580269,1.592496615,4.185160104,5.758041705,2.842493639,4.465245065,0.244873738,1.730369331,0.664881576,-0.208351661,1.6921701,0.964977575,1.410226663,0.797967812,1.765941231,1.646657259,1.163147577,-0.663171193,-0.707950481,-0.840856658,-6.729941651,1.798419729
61,East Asia & Pacific (excluding high income),EAP,GDPgrowth,NY.GDP.PCAP.KD.ZG,6.570043135,5.987681913,7.103895587,8.020368808,8.233072455,9.093528805,10.20989737,11.63564164,7.809110784,7.195355795,9.1328568,7.824765276,6.661546719,6.402416983,6.13292038,5.88256543,5.790359198,5.89732763,5.833388786,5.187802968,0.819493509,6.896976079
62,Early-demographic dividend,EAR,GDPgrowth,NY.GDP.PCAP.KD.ZG,2.471358257,-0.802010354,0.036080427,3.646990771,4.459262838,4.181007606,4.280206314,4.096357894,1.909385356,-0.702461149,4.924411268,3.329814419,2.723758364,2.664219134,2.70783629,3.015085562,3.085281116,3.176225433,2.486899874,1.065427687,-5.409442401,5.637243287
63,East Asia & Pacific,EAS,GDPgrowth,NY.GDP.PCAP.KD.ZG,4.405364418,2.384246481,3.504620071,4.115262008,5.06477227,5.111525782,5.665925814,6.685203099,3.631437903,1.847210543,6.877332449,4.716967015,4.345771472,4.427756804,3.978749784,3.972893501,3.935188465,4.312644436,4.111252298,3.435500346,-0.594543833,5.528114974
64,Europe & Central Asia (excluding high income),ECA,GDPgrowth,NY.GDP.PCAP.KD.ZG,8.394530814,2.623497222,5.468967011,6.864106337,8.154842939,7.201434033,7.98175829,7.510489696,3.820601121,-6.171066538,5.062036887,5.687948285,3.379703739,3.352276601,1.317624776,0.170359744,0.899755363,3.361148199,2.734158771,1.8449779,-1.483828151,6.86474887
65,Europe & Central Asia,ECS,GDPgrowth,NY.GDP.PCAP.KD.ZG,4.211363606,2.06484135,1.398874467,1.530031521,2.873106227,2.349569485,3.508513601,3.274819687,0.615529395,-4.815759845,2.295196718,2.092609065,-0.039383211,0.370196116,1.408585963,1.574030287,1.460948248,2.480735313,1.852613996,1.52529665,-5.795166949,5.780239534
66,Ecuador,ECU,GDPgrowth,NY.GDP.PCAP.KD.ZG,-0.625240913,2.242180682,2.304133694,0.942184171,6.344882336,3.491195493,2.621996709,0.44929932,4.559943578,-1.111364474,1.820647693,6.111532316,3.962519179,3.350546243,2.260424369,-1.371519259,-2.690499476,0.790527393,-0.608002129,-1.879688207,-9.07131767,3.010378163
67,"Egypt, Arab Rep.",EGY,GDPgrowth,NY.GDP.PCAP.KD.ZG,4.188865984,1.427875027,0.271350021,1.061259567,1.998606848,2.420125626,4.784127568,5.018084821,5.07816837,2.645918665,3.036697187,-0.457409359,-0.059787762,-0.153662237,0.531824069,2.095538308,2.192208625,2.128743382,3.33314698,3.680862242,1.79013824,1.627318692
68,Euro area,EMU,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.524962256,1.803607904,0.448592112,0.137470783,1.732878206,1.157750261,2.750248681,2.468700924,-0.072788029,-4.830699504,1.939339069,1.93536184,-1.060329403,-0.558569807,1.055661824,1.740654783,1.566436405,2.396276584,1.539657717,1.467101328,-6.264636683,5.277655156
70,Spain,ESP,GDPgrowth,NY.GDP.PCAP.KD.ZG,4.776400785,3.214134567,1.289977181,1.13629399,1.358648611,1.915746393,2.357772472,1.704571588,-0.709644824,-4.611747923,-0.297178904,-1.166203907,-3.021906537,-1.079741265,1.699352659,3.919117265,2.950815909,2.734475155,1.837460464,1.254631755,-11.75755913,5.408112942
71,Estonia,EST,GDPgrowth,NY.GDP.PCAP.KD.ZG,9.556418469,6.681033541,7.449840428,8.277712285,7.444416375,10.15499479,10.41473423,8.071025334,-4.877286528,-14.46432838,2.678164039,7.589211665,3.59836216,1.820154161,3.281874814,1.786274694,3.125538305,5.664039082,3.423619058,3.354972439,-0.747277944,7.899032598
72,Ethiopia,ETH,GDPgrowth,NY.GDP.PCAP.KD.ZG,2.980694098,5.183296102,-1.419431349,-4.963548611,10.35673538,8.688193147,7.745595719,8.322832059,7.68786008,5.794553796,9.419873429,8.054120481,5.618653919,7.583098924,7.314544923,7.456695097,6.501211497,6.622789071,3.998440256,5.523810568,3.280847984,2.921685518
73,European Union,EUU,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.776213125,2.040980905,0.878851785,0.549506075,2.208504805,1.56427054,3.158741781,2.81023011,0.318563255,-4.574618102,2.082125241,2.074578976,-0.846147872,-0.326851966,1.344451876,2.084138482,1.760734125,2.677208733,1.886500489,1.721797563,-5.746079677,5.508593075
74,Fragile and conflict affected situations,FCS,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.121146279,2.029222739,2.131837735,-1.261345417,8.430549224,3.326191164,3.352782187,3.564188355,2.562606272,0.378839555,4.346458955,-2.386353835,2.347331494,1.00631553,-0.179626999,-1.313963042,0.129537052,0.228067847,0.396763419,-0.041676987,-6.234984382,-0.092804221
75,Finland,FIN,GDPgrowth,NY.GDP.PCAP.KD.ZG,5.553997853,2.37665487,1.460928622,1.76083857,3.690587797,2.428689227,3.628941348,4.852313276,0.315886377,-8.513028487,2.714966735,2.073396315,-1.865591174,-1.357215611,-0.776108383,0.21302942,2.516379895,2.950531373,1.00565417,1.113269092,-2.345512241,2.759998674
76,Fiji,FJI,GDPgrowth,NY.GDP.PCAP.KD.ZG,-2.772962329,0.931771647,2.159245426,0.009775585,4.280889849,-0.247123291,0.911330811,-1.692810583,0.347435415,-1.894980247,2.524049644,2.344910977,1.110328173,4.459729481,5.360487007,4.314345961,2.315025215,5.279080313,3.814949115,-0.524468964,-17.17670901,-5.541402213
77,France,FRA,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.212384848,1.24252729,0.401189129,0.109402979,2.076624908,0.903680387,1.741085258,1.795236367,-0.302483826,-3.370397283,1.448245262,1.700610402,-0.171161336,0.058149505,0.484564448,0.754024352,0.829056665,1.994998447,1.500539123,1.495898988,-8.034474295,6.535119983
79,"Micronesia, Fed. Sts.",FSM,GDPgrowth,NY.GDP.PCAP.KD.ZG,4.674366384,1.949482805,0.507494245,1.742000006,-2.760965842,2.49992422,0.497798984,-1.146998814,-1.66513661,1.876592316,2.525522138,2.902596056,-2.179628787,-4.014111423,-2.677648939,4.203251189,0.47519262,2.212616951,-0.23913578,0.766026842,-2.402459942,-4.065330581
80,Gabon,GAB,GDPgrowth,NY.GDP.PCAP.KD.ZG,-4.362686955,-0.495554569,-2.859056185,-0.475164875,-2.061050467,-0.227534414,-5.664485439,2.776783314,-6.342412083,-3.113239988,3.487294146,3.382360848,1.571854945,2.000039245,0.887273108,0.721232639,-0.731650626,-2.062816754,-1.544872184,1.56821092,-3.969558634,-0.644205944
81,United Kingdom,GBR,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.721393156,1.764902677,1.340842566,2.643986211,1.764340112,1.965819786,1.412229708,1.767934814,-0.937077972,-5.230034826,1.630274045,0.280839243,0.745478658,1.140212964,2.442465801,1.584979389,1.393848825,1.749953797,1.090623956,1.032740842,-11.35536684,7.132720706
82,Georgia,GEO,GDPgrowth,NY.GDP.PCAP.KD.ZG,3.838100069,6.443911043,6.424463063,11.81131435,6.451674622,10.28800429,10.04357676,13.16775225,2.730182663,-2.790940254,7.027385327,8.264988721,7.155378254,3.933646408,4.382901471,2.860094243,2.844902055,4.828569855,4.883854929,5.162618817,-6.824432632,10.88570195
83,Ghana,GHA,GDPgrowth,NY.GDP.PCAP.KD.ZG,1.122932344,1.270303419,1.667050975,2.382824942,2.818909276,3.120307425,3.62857797,1.663212531,6.37791278,2.219568023,5.267238029,11.30007269,6.636351702,4.712772226,0.409400947,-0.265332917,0.983231575,5.739078113,3.96954738,4.30597775,-1.541636548,3.262282019
85,Guinea,GIN,GDPgrowth,NY.GDP.PCAP.KD.ZG,0.510408914,2.32360542,3.545380566,-0.995885504,0.184086182,0.979328739,-0.876468729,4.395643234,1.655245404,-3.505824317,2.268168038,3.034094544,3.353180363,1.437755266,1.153539502,1.212553188,7.987763805,7.508405646,3.697806527,2.970450896,2.317241012,1.391141551
86,"Gambia, The",GMB,GDPgrowth,NY.GDP.PCAP.KD.ZG,2.488102794,2.80288577,-5.968645508,3.865439346,3.997774412,-5.183078011,-3.514924306,-0.085561126,3.007368864,3.395701264,2.674353276,-10.93207644,2.034710374,-0.218687978,-4.296675102,1.097050489,-0.875473407,2.006307675,4.439494294,3.513793718,-1.953083669,1.661892082
